"cost" "thr" "target.size" "theta" "h2" "Ne" "rho" "b" "gamma" "env.sd" "norm.prev"
"1" 0.447213595499958 7125 15000 0.004 0.5 1000 0.475 0.05 0.0500417292784913 7.74273637824154 0.000159310263520673
"2" 0.447213595499958 6281.25 15000 0.004 0.5 1000 0.41875 0.1625 0.163953436881145 7.711556508438 0.000567813966418695
"3" 0.447213595499958 5437.5 15000 0.004 0.5 1000 0.3625 0.275 0.282264901368926 7.64563450231227 0.00101462290775578
"4" 0.447213595499958 4593.75 15000 0.004 0.5 1000 0.30625 0.3875 0.408854951600854 7.54096365621763 0.00149838618139009
"5" 0.447213595499958 3750 15000 0.004 0.5 1000 0.25 0.5 0.549306144334055 7.39015247458469 0.00202724963065148
"6" 0.447213595499958 2906.25 15000 0.004 0.5 1000 0.19375 0.6125 0.712912599938263 7.17976990748986 0.00261867936904203
"7" 0.447213595499958 2062.5 15000 0.004 0.5 1000 0.1375 0.725 0.918105615899444 6.88332549183335 0.0033086335045992
"8" 0.447213595499958 1218.75 15000 0.004 0.5 1000 0.08125 0.8375 1.2127416146586 6.43700568708813 0.00418756940288334
"9" 0.447213595499958 375 15000 0.004 0.5 1000 0.025 0.95 1.83178082306482 5.57828467601568 0.00566438345818665
"10" 0.447213595499958 23750 50000 0.004 0.5 1000 0.475 0.05 0.0500417292784913 14.1362379039291 0.000303619263714139
"11" 0.447213595499958 20937.5 50000 0.004 0.5 1000 0.41875 0.1625 0.163953436881145 14.0793115104909 0.00109188764632751
"12" 0.447213595499958 18125 50000 0.004 0.5 1000 0.3625 0.275 0.282264901368926 13.9589549445207 0.00196171326072303
"13" 0.447213595499958 15312.5 50000 0.004 0.5 1000 0.30625 0.3875 0.408854951600854 13.7678529994568 0.00290959138623381
"14" 0.447213595499958 12500 50000 0.004 0.5 1000 0.25 0.5 0.549306144334055 13.4925107124422 0.00395161558550416
"15" 0.447213595499958 9687.5 50000 0.004 0.5 1000 0.19375 0.6125 0.712912599938263 13.1084064534299 0.00512297114175153
"16" 0.447213595499958 6875 50000 0.004 0.5 1000 0.1375 0.725 0.918105615899444 12.5671754750916 0.00649653999037714
"17" 0.447213595499958 4062.5 50000 0.004 0.5 1000 0.08125 0.8375 1.2127416146586 11.7523107253574 0.0082561831173692
"18" 0.447213595499958 1250 50000 0.004 0.5 1000 0.025 0.95 1.83178082306482 10.1845078307973 0.011234933373697
"19" 0.447213595499958 71250 150000 0.004 0.5 1000 0.475 0.05 0.0500417292784913 24.4846822774863 0.000548855836154605
"20" 0.447213595499958 62812.5 150000 0.004 0.5 1000 0.41875 0.1625 0.163953436881145 24.3860828717596 0.00199356915578897
"21" 0.447213595499958 54375 150000 0.004 0.5 1000 0.3625 0.275 0.282264901368926 24.1776191844747 0.00360416978381051
"22" 0.447213595499958 45937.5 150000 0.004 0.5 1000 0.30625 0.3875 0.408854951600854 23.8466209061987 0.00537299306073002
"23" 0.447213595499958 37500 150000 0.004 0.5 1000 0.25 0.5 0.549306144334055 23.3697140756172 0.00733089696414557
"24" 0.447213595499958 29062.5 150000 0.004 0.5 1000 0.19375 0.6125 0.712912599938263 22.7044259836044 0.00954629051365308
