rhot rhos thr C al Ne Ve as Ls Ll u prev.pred
0.25 0.250003726782447 7500.10680339887 0.447213595499958 22.3606797749979 1000 54.6145886336786 1 14999 1 1e-06 0.00202723751685166
0.25 0.252617835503165 7574.98775399743 0.447213595499958 22.3606797749979 1000 54.7792858539014 1 14992 8 1e-06 0.00201874560946427
0.25 0.255309184897704 7652.00816032737 0.447213595499958 22.3606797749979 1000 54.9485563236227 1 14985 15 1e-06 0.00201004445158449
0.25 0.257928259072235 7726.88911092593 0.447213595499958 22.3606797749979 1000 55.1130758619064 1 14978 22 1e-06 0.00200159011140394
0.25 0.260549786213393 7801.77006152449 0.447213595499958 22.3606797749979 1000 55.2776299803575 1 14971 29 1e-06 0.00199314586031134
0.25 0.263173769768883 7876.65101212303 0.447213595499958 22.3606797749979 1000 55.4423053993425 1 14964 36 1e-06 0.00198470875289171
0.25 0.265875290612937 7953.67141845299 0.447213595499958 22.3606797749979 1000 55.6119091484688 1 14957 43 1e-06 0.00197603482983878
0.25 0.268504267797828 8028.55236905153 0.447213595499958 22.3606797749979 1000 55.7771187491064 1 14950 50 1e-06 0.00196760277272507
0.25 0.271135711878171 8103.43331965009 0.447213595499958 22.3606797749979 1000 55.9427459377858 1 14943 57 1e-06 0.00195916831985794
0.25 0.273769626327805 8178.31427024865 0.447213595499958 22.3606797749979 1000 56.1089018155521 1 14936 64 1e-06 0.00195072808681139
0.25 0.276406014627095 8253.19522084721 0.447213595499958 22.3606797749979 1000 56.27570535475 1 14929 71 1e-06 0.00194227853837637
0.25 0.279044880262945 8328.07617144576 0.447213595499958 22.3606797749979 1000 56.443284317403 1 14922 78 1e-06 0.00193381597632098
0.25 0.281761730258474 8405.09657777571 0.447213595499958 22.3606797749979 1000 56.6166052214562 1 14915 85 1e-06 0.00192509395475151
0.25 0.284405632086758 8479.97752837426 0.447213595499958 22.3606797749979 1000 56.7861914793287 1 14908 92 1e-06 0.0019165928629379
0.25 0.287052021852005 8554.85847897282 0.447213595499958 22.3606797749979 1000 56.9570051865674 1 14901 99 1e-06 0.00190806634281752
0.25 0.289700903067628 8629.73942957138 0.447213595499958 22.3606797749979 1000 57.1292217300489 1 14894 106 1e-06 0.00189950982118578
0.25 0.292428069554784 8706.75983590132 0.447213595499958 22.3606797749979 1000 57.30802378521 1 14887 113 1e-06 0.00189067238972588
0.25 0.295082015675399 8781.64078649987 0.447213595499958 22.3606797749979 1000 57.4836923070499 1 14880 121 1e-06 0.00188203971556402
0.25 0.250003726782447 25000.3560113296 0.447213595499958 22.3606797749979 1000 182.049452060857 1 49999 1 1e-06 0.00395159284742894
0.25 0.252617835503165 25249.9591799914 0.447213595499958 22.3606797749979 1000 183.187703050603 1 49976 24 1e-06 0.00393560769280713
0.25 0.255309184897704 25506.6938677579 0.447213595499958 22.3606797749979 1000 184.384043300197 1 49952 48 1e-06 0.00391906783311014
0.25 0.257928259072235 25756.2970364198 0.447213595499958 22.3606797749979 1000 185.573655800989 1 49929 71 1e-06 0.00390289566637778
0.25 0.260549786213393 26005.9002050816 0.447213595499958 22.3606797749979 1000 186.791129000942 1 49905 95 1e-06 0.00388661234783925
0.25 0.263173769768883 26255.5033737434 0.447213595499958 22.3606797749979 1000 188.038291894175 1 49882 118 1e-06 0.00387021430619162
0.25 0.265875290612937 26512.23806151 0.447213595499958 22.3606797749979 1000 189.354117867227 1 49858 142 1e-06 0.00385321939171121
0.25 0.268504267797828 26761.8412301718 0.447213595499958 22.3606797749979 1000 190.667638792996 1 49835 165 1e-06 0.00383656328378133
0.25 0.271135711878171 27011.4443988336 0.447213595499958 22.3606797749979 1000 192.017168569663 1 49811 189 1e-06 0.00381976709953946
0.25 0.273769626327805 27261.0475674955 0.447213595499958 22.3606797749979 1000 193.405081921329 1 49788 212 1e-06 0.00380282218864017
0.25 0.276406014627095 27510.6507361574 0.447213595499958 22.3606797749979 1000 194.833912873005 1 49764 236 1e-06 0.00378571971445074
0.25 0.279044880262945 27760.2539048192 0.447213595499958 22.3606797749979 1000 196.306288717255 1 49741 259 1e-06 0.00376848205642431
0.25 0.281761730258474 28016.9885925857 0.447213595499958 22.3606797749979 1000 197.869338154416 1 49717 283 1e-06 0.00375055493439416
0.25 0.284405632086758 28266.5917612475 0.447213595499958 22.3606797749979 1000 199.439435791418 1 49694 306 1e-06 0.0037328905205973
0.25 0.287052021852005 28516.1949299094 0.447213595499958 22.3606797749979 1000 201.062389415319 1 49670 330 1e-06 0.00371507003468744
0.25 0.289700903067628 28765.7980985713 0.447213595499958 22.3606797749979 1000 202.741792151733 1 49647 353 1e-06 0.00369704856791415
0.25 0.292428069554784 29022.5327863377 0.447213595499958 22.3606797749979 1000 204.531990117394 1 49623 377 1e-06 0.00367829322415306
0.25 0.295082015675399 29272.1359549996 0.447213595499958 22.3606797749979 1000 206.337583822346 1 49600 401 1e-06 0.00365983704672702
0.25 0.250003726782447 75001.0680339887 0.447213595499958 22.3606797749979 1000 546.15200317294 1 149999 1 1e-06 0.00733085973743191
0.25 0.252617835503165 75749.8775399743 0.447213595499958 22.3606797749979 1000 552.171297011674 1 149929 71 1e-06 0.00730478743699901
0.25 0.255309184897704 76520.0816032737 0.447213595499958 22.3606797749979 1000 558.540525805972 1 149857 143 1e-06 0.00727766810722052
