"cost" "thr" "target.size" "theta" "h2" "Ne" "mu" "rho" "b" "gamma" "env.sd" "norm.prev"
"1" 0.01 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.164193727383319
"2" 0.04 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.0267563542846463
"3" 0.07 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.0138465941156809
"4" 0.1 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00918552105920001
"5" 0.13 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00681615843777283
"6" 0.16 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00539243896054753
"7" 0.19 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00444666394405346
"8" 0.22 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00377477137029791
"9" 0.25 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00327391295382029
"10" 0.28 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00288677592201447
"11" 0.31 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00257895980140888
"12" 0.34 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00232859905863925
"13" 0.37 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00212114714898004
"14" 0.4 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00194655999729121
"15" 0.43 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.0017976845741251
"16" 0.46 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00166929188718956
"17" 0.49 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00155747295253938
"18" 0.52 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00145924838276412
"19" 0.55 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00137230849464898
"20" 0.58 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00129483579554679
"21" 0.61 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00122538096153624
"22" 0.64 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00116277443122426
"23" 0.67 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00110606224718957
"24" 0.7 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00105445873808163
"25" 0.73 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00100731110896202
"26" 0.76 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.00096407259014486
"27" 0.79 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.000924281828725948
"28" 0.82 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.000887546895576241
"29" 0.85 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.000853532747306152
"30" 0.88 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.000821951304189716
"31" 0.91 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.000792553529785134
"32" 0.94 75508.1337596291 1e+05 0.004 0.5 1000 1e-06 0.377540668798145 0.244918662403709 0.5 5.01723618389015 0.000765123057266504
