as Ls bs rhos al Ll bl rhol bt rhot Ne u C Ve maxG bigU thr
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.05 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.11 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.17 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.23 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.29 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.35 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.41 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.47 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.53 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
1 9939125.31216317 0.144793959927447 0.427603020036276 47.876523854975 1271 1 0 0.150000000000007 0.424999999999997 1000 1e-08 0.59 397.189154086066 19999952.7479657 0.0299999291219485 8500000.99999994
